Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,308,289,350,15.67,0.000%,10.42753,46.80,1.60,4596.0
TOTAL,50,308,289,350,15.67,0.000%,10.42753,46.80,1.60,4596.0
